"Name","FMISID","LPNN","WMO","Lat","Lon","Elevation","Groups","Started",,,
"Kaskinen Ådskär",134251,,,62.3,21.2,,"mareograph",1926,,,
"Kemi Ajos",100539,,,65.7,24.5,,"mareograph",1922,,,
"Oulu Toppila",134248,,,65,25.4,0,"mareograph",1922,,,
"Pietarsaari Leppäluoto",134250,,,63.7,22.7,0,"mareograph",1922,,,
"Pori Mäntyluoto Kallo",134266,,,61.6,21.5,,"mareograph",1925,,,
"Porvoo Emäsalo Vaarlahti",100669,,,60.2,25.6,0,"mareograph",2014,,,
"Raahe Lapaluoto",100540,,,64.7,24.4,,"mareograph",1922,,,
"Rauma Petäjäs",134224,,,61.1,21.4,,"mareograph",1933,,,
"Turku Ruissalo Saaronniemi",134225,,,60.4,22.1,0,"mareograph",1922,,,
"Vaasa Vaskiluoto",134223,,,63.1,21.6,0,"mareograph",1922,,,
"Espoo Latokaski",101000,334,2838,60.2,24.6,44,"mast",1989,,,
"Kuopio Vehmasmäki",101581,3612,2837,62.7,27.5,190,"mast",1990,,,
"Rovaniemi Vennivaara",101927,7408,2846,66.5,25.6,191,"mast",1991,,,
"Alavus Sulkavankylä",101305,2213,,62.4,23.6,124,"precipitation",1942,,,
"Enonkoski Simanala",101446,2806,,62.1,29,95,"precipitation",1937,,,
"Enontekiö Kaaresuvanto",101968,8102,,68.4,22.5,320,"precipitation",1953,,,
"Heinävesi Palokki",101589,3702,,62.6,28.6,103,"precipitation",1908,,,
"Huittinen Sallila",101075,1111,,61,22.7,70,"precipitation",1961,,,
"Hämeenlinna Pirttikoski",101143,1315,,61,23.9,127,"precipitation",1939,,,
"Isojoki Kärjenkoski",101258,2004,,62.1,21.7,58,"precipitation",1942,,,
"Joensuu Huhtilampi",101460,2903,,62.4,30.4,140,"precipitation",1956,,,
"Joensuu Pyhäselkä",101610,3803,,62.5,29.8,79,"precipitation",1908,,,
"Jyväskylä Muuratjärvi",101352,2414,,62.2,25.4,123,"precipitation",1958,,,
"Kajaani Paltaniemi",101742,4618,,64.3,27.6,134,"precipitation",2000,,,
"Kalajoki Mehtäkylä",101685,4310,,64.3,24.2,40,"precipitation",1961,,,
"Kalajoki Pitkäsenkylä",101683,4308,,64.2,24,18,"precipitation",1958,,,
"Kangasniemi parish",101385,2520,,62,26.6,112,"precipitation",1909,,,
"Kaustinen Tastula",101665,4204,,63.6,23.7,74,"precipitation",1925,,,
"Kittilä Pulju",101980,8305,,68.2,24.8,278,"precipitation",1970,,,
"Kiuruvesi Korpijoki",101712,4504,,63.7,26.4,110,"precipitation",1958,,,
"Kokemäki Rausenkulma",101068,1104,2762,61.3,22.2,38,"precipitation",1931,,,
"Kolari Kattilamaa",101913,7306,,67.4,24,173,"precipitation",1968,,,
"Kouvola Voikoski",101211,1521,,61.3,26.8,90,"precipitation",1968,,,
"Kuhmo Apaja",101771,4811,,64.1,29.2,190,"precipitation",1997,,,
"Kuopio Karttula",101579,3610,,62.9,27.3,131,"precipitation",1982,,,
"Kurikka Hirvijärvi",101285,2117,,62.5,22.9,103,"precipitation",1920,,,
"Kurikka Pyörni",101478,3017,,62.7,22,72,"precipitation",1981,,,
"Lapinlahti Lamminkäyrä",101577,3608,,63.4,27.4,95,"precipitation",1968,,,
"Lieksa Koli",101616,3809,,63.1,29.8,165,"precipitation",1969,,,
"Lohja Leppäkorpi",100963,213,,60.5,23.8,96,"precipitation",1968,,,
"Merikarvia Tuorila",101257,2003,,61.8,21.7,39,"precipitation",1958,,,
"Mikkeli Pitkäaho",107590,2628,,62,27.3,133,"precipitation",2022,,,
"Multia Pirttiperä",101363,2427,,62.4,25,180,"precipitation",1991,,,
"Mustasaari Riimala",101474,3013,,63,21.8,15,"precipitation",1967,,,
"Nokia Tottijärvi",101116,1213,,61.4,23.3,100,"precipitation",1959,,,
"Nurmes Mujejärvi",101763,4803,,63.8,29.5,256,"precipitation",1966,,,
"Närpiö Ylimarkku",101468,3007,,62.6,21.5,35,"precipitation",1961,,,
"Outokumpu Viuruniemi",101590,3703,,62.6,28.9,113,"precipitation",1961,,,
"Pelkosenniemi parish",101947,7604,,67.1,27.5,155,"precipitation",1968,,,
"Pielavesi Venetmäki",101569,3516,,63.3,27,189,"precipitation",1986,,,
"Posio Raistakka",101881,6703,,66,28.2,260,"precipitation",1968,,,
"Pudasjärvi Jaurakkajärvi",101812,5607,,65.2,27.6,133,"precipitation",1968,,,
"Pudasjärvi Sarakylä",101877,6604,,65.8,27.3,158,"precipitation",1968,,,
"Puolanka Kotila",101830,5715,,64.7,28,280,"precipitation",1992,,,
"Pöytyä Yläne",101093,1130,,60.9,22.4,57,"precipitation",1975,,,
"Rautavaara Ala-Luosta",101599,3712,,63.3,28.5,111,"precipitation",1968,,,
"Ristijärvi Mustavaara",101753,4711,,64.5,28.6,275,"precipitation",1978,,,
"Ruokolahti Kotaniemi",101248,1712,,61.4,28.7,97,"precipitation",1998,,,
"Rääkkylä parish",101450,2810,,62.3,29.6,97,"precipitation",1971,,,
"Salla Kelloselkä",101956,7706,,66.9,29,202,"precipitation",1949,,,
"Savonlinna Laukansaari",101423,2702,,61.8,28.8,94,"precipitation",1942,,,
"Savonlinna Savonranta",101448,2808,,62.2,29.3,90,"precipitation",1908,,,
"Siikalatva Kestilä",101717,4509,,64.4,26.3,90,"precipitation",1908,,,
"Siuntio Sjundby",105302,321,,60.1,24.3,26,"precipitation",1995,,,
"Suonenjoki Iisvesi",101578,3609,,62.7,27,103,"precipitation",1978,,,
"Sysmä Joutsjärvi",101342,2404,,61.5,25.8,91,"precipitation",1947,,,
"Teuva Kauppilankylä",101262,2008,,62.5,21.8,60,"precipitation",1960,,,
"Utajärvi Särkijärvi",101809,5604,,64.9,27.3,130,"precipitation",1916,,,
"Uusikaupunki Itätulli",101049,1006,,60.8,21.4,7,"precipitation",1908,,,
"Vihti Hiiskula",101135,1307,,60.5,24.5,100,"precipitation",1924,,,
"Äänekoski Kalaniemi",101541,3405,,62.9,25.9,107,"precipitation",1956,,,
